Topic,User,Score
Careers_and_Jobs_Positive,moreruckus2,4.7651978890329505e-07
Tweets_About_Love_Positive,watoke,1.908965136106419e-08
Tweets_About_Life_Events_Positive,mizobopizo,1.5041474370680136e-05
Tweets_About_Life_Events_Positive,Hojialiang,4.54952030876146e-06
Tweets_About_Life_Events_Positive,RYANNCSY,1.004344179045553e-05
Tweets_About_Life_Events_Positive,indahaimee,1.1740482790872957e-05
Tweets_About_Life_Events_Positive,SinLaaah,4.166912541172375e-06
Tweets_About_Life_Events_Positive,ZhenHongC,1.8239791582255415e-05
Tweets_About_Life_Events_Positive,unifiedinbox,1.6082997391582173e-05
Tweets_About_Life_Events_Positive,soccerz123,6.071521824255707e-06
Tweets_About_Life_Events_Positive,N0MIS3RY,9.818254958721319e-06
Tweets_About_Life_Events_Positive,BookOfManu,1.6779189022315185e-05
Tweets_About_Life_Events_Positive,infidelpreacher,1.6157107146605676e-05
Tweets_About_Life_Events_Positive,NaddyKK,9.863051357440948e-06
Tweets_About_Life_Events_Positive,Christinamcg27,1.900555865704534e-05
Tweets_About_Life_Events_Positive,Sydneyyomg,1.3368959167968226e-05
Tweets_About_Life_Events_Positive,aniisxo,1.3506825147871908e-05
Tweets_About_Life_Events_Positive,booboogal,1.1752399437488765e-05
Tweets_About_Life_Events_Positive,ManoAndAri,9.784075604365821e-06
Tweets_About_Life_Events_Positive,dryvlee,4.912254128058785e-06
Tweets_About_Life_Events_Positive,Liviaism,7.974851551712125e-06
Tweets_About_Life_Events_Positive,Charmiann,1.165771412421596e-05
Tweets_About_Life_Events_Positive,watoke,7.0455824469062024e-06
Tweets_About_Life_Events_Positive,moreruckus2,1.5510123392256396e-05
Tweets_About_Life_Events_Positive,GirlNameXueyan,1.386699855548e-05
Tweets_About_Life_Events_Positive,sammirui,1.0601947705205543e-05
Tweets_About_Life_Events_Positive,Ronaldwee88,3.6097661057352067e-06
