Topic,User,Score
Careers_and_Jobs_Positive,AnAngrySnatch,3.464980560348966e-06
Careers_and_Jobs_Positive,Immanuel8Joshua,1.2626069333874575e-05
Careers_and_Jobs_Positive,ritzsinha,4.502321565056443e-06
Careers_and_Jobs_Positive,roadblog101,3.6788897764976685e-06
Careers_and_Jobs_Positive,AshleyOngz,4.768385760513926e-07
Careers_and_Jobs_Positive,fiqxx69,3.460977739469197e-05
Careers_and_Jobs_Positive,Iz__t,4.4638892889203643e-07
Careers_and_Jobs_Positive,Ketambaru,1.366320068054441e-05
Tweets_About_Love_Positive,HemanChong,7.227770161108881e-07
Tweets_About_Life_Events_Positive,Lihiinnnn,0.0003484661463668355
Tweets_About_Life_Events_Positive,ivanethanloh,0.0003109528840438248
Tweets_About_Life_Events_Positive,hnnhsoup,0.000359347645031426
Tweets_About_Life_Events_Positive,ImposterouSoh,0.00031391351026555613
Tweets_About_Life_Events_Positive,AnAngrySnatch,0.0001961116055041328
Tweets_About_Life_Events_Positive,Immanuel8Joshua,6.750605915994769e-05
Tweets_About_Life_Events_Positive,HemanChong,0.00015893617967016824
Tweets_About_Life_Events_Positive,sholehin_J,5.7511039050402965e-05
Tweets_About_Life_Events_Positive,ritzsinha,0.00024687457711425944
Tweets_About_Life_Events_Positive,AeonWcs,0.00033539202685038254
Tweets_About_Life_Events_Positive,rajaramansg,0.000245165701448716
Tweets_About_Life_Events_Positive,daimanuel,4.1798640640007015e-05
Tweets_About_Life_Events_Positive,roadblog101,0.00032669660651319895
Tweets_About_Life_Events_Positive,AshleyOngz,0.00019263931249976045
Tweets_About_Life_Events_Positive,yumikabelle,9.216213295260573e-05
Tweets_About_Life_Events_Positive,eqaaaah_,0.00011995562207793899
Tweets_About_Life_Events_Positive,Pyxify,0.0003567894692927651
Tweets_About_Life_Events_Positive,fiqxx69,0.00019188495329252472
Tweets_About_Life_Events_Positive,Iz__t,0.00012091408977590856
Tweets_About_Life_Events_Positive,AnsherineM,0.00012536995478869224
Tweets_About_Life_Events_Positive,EngrBoi,0.0001395388012771931
Tweets_About_Life_Events_Positive,yainping,0.0002760748981384793
Tweets_About_Life_Events_Positive,HODxB,0.0003420684621144194
Tweets_About_Life_Events_Positive,Ketambaru,5.666386040520097e-05
Tweets_About_Life_Events_Positive,ehn,8.135555456046649e-05
Birthdays_and_Anniversaries_Positive,AnAngrySnatch,7.65595005746664e-06
Birthdays_and_Anniversaries_Positive,rajaramansg,1.6658084809602834e-05
Everyday_Greetings_Positive,AnsherineM,2.5400166497024193e-05
