Topic,User,Score
Tweets_About_Life_Events_Positive,NaDo1201,1.1407583615799687e-07
Tweets_About_Life_Events_Positive,belon1986,1.149167830072756e-07
Tweets_About_Life_Events_Positive,AjiepLaa,9.678663150217623e-08
Tweets_About_Life_Events_Positive,shazology,8.290221447450017e-08
Tweets_About_Life_Events_Positive,iamkokwei,8.865108767982966e-08
Tweets_About_Life_Events_Positive,BrendiehBear,1.290829531886399e-07
Tweets_About_Life_Events_Positive,ccarrillouk,9.403609807476939e-08
Tweets_About_Life_Events_Positive,raymondlimarno,1.2787949919274464e-07
Tweets_About_Life_Events_Positive,bryantwalkerhot,9.615418691551326e-08
Tweets_About_Life_Events_Positive,SpikyKevin,1.0201425571430878e-07
Tweets_About_Life_Events_Positive,KarthickJoki,9.298429649209153e-08
Tweets_About_Life_Events_Positive,wafflenessa,1.396141044186367e-07
Tweets_About_Life_Events_Positive,CindyOh97,1.4316823502367153e-07
Tweets_About_Life_Events_Positive,misterdarrenY,1.250332509770184e-07
Tweets_About_Life_Events_Positive,leah_cb,1.2471574318089562e-07
Tweets_About_Life_Events_Positive,sahidahkim,1.142189791520207e-07
Tweets_About_Life_Events_Positive,rokcibell51,1.0320409366972793e-07
Tweets_About_Life_Events_Positive,stpams,1.0300702939843467e-07
Tweets_About_Life_Events_Positive,vernieman,8.711203659040906e-08
Tweets_About_Life_Events_Positive,west_repeat,1.233897806230074e-07
Tweets_About_Life_Events_Positive,nicolasdussart,1.1414522982445116e-07
Tweets_About_Life_Events_Positive,cheehau01,1.2319310855183276e-07
Tweets_About_Life_Events_Positive,kato_taichi,1.1151839570504608e-07
Tweets_About_Life_Events_Positive,jkao,1.1899686670545261e-07
Tweets_About_Life_Events_Positive,gamerkitteh,1.2337800350581165e-07
