Topic,User,Score
Tweets_About_Life_Events_Positive,SaphsFromWhere,7.394007407371937e-07
Tweets_About_Life_Events_Positive,damnitdc,3.8650357399411286e-06
Tweets_About_Life_Events_Positive,DuckSimpsons,2.165419946061226e-06
Tweets_About_Life_Events_Positive,boydchan,7.199998746267977e-06
Tweets_About_Life_Events_Positive,KenKong0109,2.398210739773194e-06
Tweets_About_Life_Events_Positive,mamatjee,2.5833414635197518e-06
Tweets_About_Life_Events_Positive,ReddersGolf,2.2321400058762314e-06
Tweets_About_Life_Events_Positive,LorensLui,1.570348821282796e-05
Travelling_around_Singapore_Positive,DuckSimpsons,4.27670025773377e-06
Everyday_Greetings_Positive,SaphsFromWhere,9.173346860695219e-05
Everyday_Greetings_Positive,Alicegwt,8.681808910588487e-05
Everyday_Greetings_Positive,kiddyrei,6.999986433387982e-05
Everyday_Greetings_Positive,liarlovelies,8.681808910588487e-05
Everyday_Greetings_Positive,damnitdc,8.046044437938344e-05
Everyday_Greetings_Positive,xxQNYW,8.239115633725395e-05
Everyday_Greetings_Positive,nrmsyhdh,7.333209025758913e-05
Everyday_Greetings_Positive,eugeniaxyxyx,8.612022818560749e-05
Everyday_Greetings_Positive,DuckSimpsons,9.452327906148101e-05
Everyday_Greetings_Positive,boydchan,9.269526940550232e-05
Everyday_Greetings_Positive,KenKong0109,8.446734566670051e-05
Everyday_Greetings_Positive,iStraven,7.319908079318134e-05
Everyday_Greetings_Positive,mamatjee,8.681808910588487e-05
Everyday_Greetings_Positive,aquaculturesg,7.976131650063112e-05
Everyday_Greetings_Positive,ReddersGolf,9.821717112169056e-05
Everyday_Greetings_Positive,LorensLui,7.649100559127709e-05
Everyday_Greetings_Positive,run4wayticket,8.681808910588487e-05
Everyday_Greetings_Positive,tuuliips,7.87008001395215e-05
Everyday_Greetings_Positive,sherboyiscool,8.109502787914976e-05
Everyday_Greetings_Positive,cameronvdd,8.612022818560749e-05
Everyday_Greetings_Positive,Aoshi_88,6.252361003262577e-05
Everyday_Greetings_Positive,WongKeyHeng3,8.957629461352021e-05
Everyday_Greetings_Positive,GinaBWicker,8.239115633725395e-05
Everyday_Greetings_Positive,ButterEEL,7.421981549440218e-05
Everyday_Greetings_Positive,yudhifay,8.212307227923303e-05
