Topic,User,Score
Careers_and_Jobs_Positive,OlynnSaleh,5.632279794600956e-07
Tweets_About_Life_Events_Negative,Junkgal,5.8632858331174525e-05
Tweets_About_Life_Events_Negative,OfficialariffiN,6.947730212785744e-05
Tweets_About_Life_Events_Negative,mintzebras,6.777172898936974e-05
Tweets_About_Life_Events_Negative,sherrng,6.846993241819593e-05
Tweets_About_Life_Events_Negative,Mohammad_Idrs,5.670939964578159e-05
Tweets_About_Life_Events_Negative,chuaenlai,5.9738729194304246e-05
Tweets_About_Life_Events_Negative,OlynnSaleh,6.36329694499282e-05
Tweets_About_Life_Events_Negative,rahulk013,7.010593783051256e-05
Tweets_About_Life_Events_Negative,alicetkj_,6.78937089325815e-05
Tweets_About_Life_Events_Negative,KiwiInSG,6.063146356403039e-05
Tweets_About_Life_Events_Negative,__Kennyyy_,7.065077905224465e-05
Tweets_About_Life_Events_Negative,drgorespw,6.133358334466358e-05
Tweets_About_Life_Events_Negative,cremedelakremz,6.241649398932675e-05
Tweets_About_Life_Events_Negative,bernicecly,5.69926546327728e-05
Tweets_About_Life_Events_Negative,iamyeahps,7.0669801136558e-05
Tweets_About_Life_Events_Negative,foxesboo,6.435983022414419e-05
Tweets_About_Life_Events_Negative,isaacromromeo,6.204078562349318e-05
Tweets_About_Life_Events_Negative,Chapsalddeok_,6.136583573137025e-05
Tweets_About_Life_Events_Negative,bxbremner,6.0955381885955186e-05
Tweets_About_Life_Events_Negative,i_am_s90,5.99814608743979e-05
Tweets_About_Life_Events_Negative,Riko_dots,6.068001164113308e-05
Tweets_About_Life_Events_Negative,alexanderjpatt,5.879287390794694e-05
Tweets_About_Life_Events_Negative,Sultana42303539,5.89653766269093e-05
Tweets_About_Life_Events_Negative,theForeignArch,5.827175431969171e-05
Tweets_About_Life_Events_Negative,robin_low,5.685234385353896e-05
