Topic,User,Score
Careers_and_Jobs_Positive,snkdoor,1.646589855697161e-08
Tweets_About_Life_Events_Positive,sylvani91,4.675247189379624e-07
Tweets_About_Life_Events_Positive,KOJIONISHI,5.505727767769504e-07
Tweets_About_Life_Events_Positive,msmsaifullah,5.759784228758861e-07
Tweets_About_Life_Events_Positive,saforingnail,3.9207901260844824e-07
Tweets_About_Life_Events_Positive,MsGenGeorge,4.499913923335364e-07
Tweets_About_Life_Events_Positive,MiranMohr,5.973871422829335e-07
Tweets_About_Life_Events_Positive,dxvxkxrxn,3.247312926440162e-07
Tweets_About_Life_Events_Positive,snkdoor,3.072771396910432e-07
Tweets_About_Life_Events_Positive,EDronneauprof,2.5057869600087466e-07
Tweets_About_Life_Events_Positive,teyazainuddin,5.355987189089972e-07
Tweets_About_Life_Events_Positive,AlwynIsPat,4.832948778102875e-07
Tweets_About_Life_Events_Positive,vvkxnanaloh,5.387813364513955e-07
Tweets_About_Life_Events_Positive,beastcuiit,4.214247416798121e-07
Tweets_About_Life_Events_Positive,izanvanst,4.883544276176718e-07
Tweets_About_Life_Events_Positive,LWWren,3.187321175047613e-07
Tweets_About_Life_Events_Positive,manshroff,5.873833611865953e-07
Tweets_About_Life_Events_Positive,myinfolink,3.4043990166082e-07
Tweets_About_Life_Events_Positive,SmithRChris,2.8526320592012557e-07
Tweets_About_Life_Events_Positive,gadgetmatch,4.963893400061054e-07
Tweets_About_Life_Events_Positive,G_r_a_c_e_a,3.0155271679436185e-07
Tweets_About_Life_Events_Positive,ScoutinginAPR,4.98663630929594e-07
Tweets_About_Life_Events_Positive,MsMartinOnTheGo,3.086066010926365e-07
Tweets_About_Life_Events_Positive,agnihello,5.5761363487351e-07
Tweets_About_Life_Events_Positive,zooliejoe,3.5848636560929406e-07
Tweets_About_Life_Events_Positive,Akanksha918,3.114643521570441e-07
