Topic,User,Score
Careers_and_Jobs_Positive,shaunymacattack,2.7379851972117297e-06
Careers_and_Jobs_Positive,rose3ina,2.522155848719801e-06
Careers_and_Jobs_Positive,Lucanesque,1.0802708090739131e-07
Careers_and_Jobs_Positive,ihuijun_,2.454096967119152e-05
Careers_and_Jobs_Positive,Hitarth1987,5.06280782433513e-05
Careers_and_Jobs_Positive,_lee9395,2.2124080655175268e-05
Careers_and_Jobs_Negative,Hasterletchmi,0.002389804959406327
Careers_and_Jobs_Negative,a444nn,0.0019415748990010246
Careers_and_Jobs_Negative,ReizePrimus,0.001914061382760597
Careers_and_Jobs_Positive,LeeNugent,1.3775564334894006e-06
Careers_and_Jobs_Negative,vrenex,0.002427351021829272
Careers_and_Jobs_Negative,rrice_ball,0.0019124190277940282
Tweets_About_Love_Positive,shaunymacattack,0.005540089219368602
Tweets_About_Love_Positive,rose3ina,0.0030225368952328693
Tweets_About_Love_Positive,Lucanesque,0.0017977313552594218
Tweets_About_Love_Positive,ihuijun_,7.800523234398281e-05
Tweets_About_Love_Positive,Priyalingamm,2.7588757180068767e-05
Tweets_About_Love_Positive,Hitarth1987,0.0004026774920965012
Tweets_About_Love_Positive,LeeNugent,9.917412019565795e-07
Tweets_About_Love_Positive,INFJme,0.00012558960874745626
Tweets_About_Love_Positive,donnaurot,0.00024287014108443822
Tweets_About_Life_Events_Positive,shaunymacattack,0.004017950037438137
Tweets_About_Life_Events_Positive,rose3ina,0.004844329079528037
Tweets_About_Life_Events_Positive,Lucanesque,0.00017656400045399265
Tweets_About_Life_Events_Negative,ihuijun_,0.00022367717688236992
Tweets_About_Life_Events_Positive,Priyalingamm,0.0014685152275444127
Tweets_About_Life_Events_Positive,ImanIllusive,0.001479749585651173
Tweets_About_Life_Events_Negative,Hitarth1987,0.0008767544012023871
Tweets_About_Life_Events_Positive,_lee9395,0.002000772796972465
Tweets_About_Life_Events_Positive,Hasterletchmi,0.0014737485882438733
Tweets_About_Life_Events_Positive,BooksActually,1.4178761984037625e-05
Tweets_About_Life_Events_Positive,a444nn,0.0023550769484898893
Tweets_About_Life_Events_Positive,sezairi,0.000625188131946634
Tweets_About_Life_Events_Positive,weihan_chan,5.56534115563896e-05
Tweets_About_Life_Events_Positive,ReizePrimus,0.0009607836422182508
Tweets_About_Life_Events_Positive,idamariana_y,0.00011939393988948799
Tweets_About_Life_Events_Negative,shasmiq,0.003083030971302136
Tweets_About_Life_Events_Positive,LeeNugent,1.3798967286780303e-05
Tweets_About_Life_Events_Positive,INFJme,0.000558770878946537
Tweets_About_Life_Events_Negative,vrenex,0.004736453979749211
Tweets_About_Life_Events_Positive,javindran,0.00022275123710872256
Tweets_About_Life_Events_Positive,SiddiqBilla,0.00011469960178952707
Tweets_About_Life_Events_Positive,rrice_ball,0.0004216241419029074
Tweets_About_Life_Events_Positive,ali_afeefa,9.210728275845943e-05
Tweets_About_Life_Events_Positive,donnaurot,9.195824464144158e-06
Clubing_and_Dancing_Positive,Xuan__n,0.0040372618317446604
Entertainment_and_Photography_Positive,shaunymacattack,0.0004174915141594744
Entertainment_and_Photography_Positive,Hitarth1987,0.0002577770232347962
Entertainment_and_Photography_Negative,Hasterletchmi,0.0005868226518959528
Entertainment_and_Photography_Positive,BooksActually,3.1020508183761156e-05
Birthdays_and_Anniversaries_Positive,rose3ina,0.0002677690616386697
Birthdays_and_Anniversaries_Positive,sezairi,7.032462262265213e-06
Birthdays_and_Anniversaries_Positive,INFJme,0.002140179055021835
Birthdays_and_Anniversaries_Positive,javindran,6.531332082176298e-06
Birthdays_and_Anniversaries_Positive,donnaurot,0.00177098988668116
Travelling_around_Singapore_Positive,shaunymacattack,9.020467183461624e-05
Travelling_around_Singapore_Positive,rose3ina,0.002746191133070285
Travelling_around_Singapore_Negative,Lucanesque,0.0029702988889792428
Travelling_around_Singapore_Negative,Priyalingamm,0.000586320608637388
Travelling_around_Singapore_Negative,Hitarth1987,9.534602925364765e-05
Travelling_around_Singapore_Negative,Hasterletchmi,0.0026764343923533483
Travelling_around_Singapore_Positive,shasmiq,6.709718135701359e-05
Everyday_Greetings_Positive,shaunymacattack,0.08079892322733417
Everyday_Greetings_Positive,rose3ina,0.08143203057883686
Everyday_Greetings_Positive,Lucanesque,0.08505794057075691
Everyday_Greetings_Positive,ihuijun_,0.07713713324555192
Everyday_Greetings_Positive,Priyalingamm,0.07160665922927469
Everyday_Greetings_Positive,ImanIllusive,0.0720001413162581
Everyday_Greetings_Positive,Hitarth1987,0.07713713324555192
Everyday_Greetings_Positive,_lee9395,0.07802191472434646
Everyday_Greetings_Positive,Hasterletchmi,0.08256441777617439
Everyday_Greetings_Positive,BooksActually,0.07713713324555192
Everyday_Greetings_Positive,a444nn,0.07285812557810385
Everyday_Greetings_Positive,sezairi,0.07713713324555192
Everyday_Greetings_Positive,weihan_chan,0.07737768339978326
Everyday_Greetings_Positive,ReizePrimus,0.07713713324555192
