Topic,User,Score
Careers_and_Jobs_Positive,BowenYolo,1.830515305164856e-07
Careers_and_Jobs_Positive,itsjasonbeckett,2.748186756695186e-07
Tweets_About_Love_Positive,westartariot,1.0477430106933027e-07
Tweets_About_Life_Events_Positive,EmbEspSingapur,3.348441652840227e-05
Tweets_About_Life_Events_Positive,Melvinoyx,3.142303577580603e-05
Tweets_About_Life_Events_Positive,reneeedg,3.190160253977297e-05
Tweets_About_Life_Events_Positive,tellemnl,3.168875029693611e-05
Tweets_About_Life_Events_Positive,grindcoffee2011,3.360248097066817e-05
Tweets_About_Life_Events_Positive,HeringChristoph,3.2107947035319004e-05
Tweets_About_Life_Events_Positive,imMichelleChong,3.3378486051952665e-05
Tweets_About_Life_Events_Positive,trysutrisnofoo,3.333545860281112e-05
Tweets_About_Life_Events_Positive,n8teWind,3.271157926656399e-05
Tweets_About_Life_Events_Positive,jitengajaria,3.3013899209172865e-05
Tweets_About_Life_Events_Positive,iamALEXHSIUNG,3.2012422325829714e-05
Tweets_About_Life_Events_Positive,muzboi,3.292704567148947e-05
Tweets_About_Life_Events_Positive,TeamRazer,3.121258636568353e-05
Tweets_About_Life_Events_Positive,Perignonic,3.1931772303468074e-05
Tweets_About_Life_Events_Positive,NotJoshuaReally,3.271349217646571e-05
Tweets_About_Life_Events_Positive,NeverJetLagged,3.202475129777153e-05
Tweets_About_Life_Events_Positive,MellyKhan,3.209912179782388e-05
Tweets_About_Life_Events_Positive,TheGoldenSupra_,3.3470219009914835e-05
Tweets_About_Life_Events_Positive,skinheadloco,3.048924931510011e-05
Tweets_About_Life_Events_Positive,nyptweets,3.1498514384033485e-05
Tweets_About_Life_Events_Positive,drrahulgmcite,3.236801783213037e-05
Tweets_About_Life_Events_Positive,BowenYolo,3.245523369409648e-05
Tweets_About_Life_Events_Positive,westartariot,3.300563510825066e-05
Tweets_About_Life_Events_Positive,itsjasonbeckett,3.281308406549052e-05
Tweets_About_Life_Events_Positive,kimmydotjpeg,3.250474519916539e-05
