Topic,User,Score
Careers_and_Jobs_Positive,ryejuan,1.2824375061828025e-07
Careers_and_Jobs_Positive,starryjan_,1.6394593869520636e-07
Careers_and_Jobs_Positive,zeligdhilee,6.404776168347075e-08
Careers_and_Jobs_Positive,hilmi_selvi,1.7539921558060515e-07
Careers_and_Jobs_Positive,anergybuilding,1.5957960982266872e-07
Careers_and_Jobs_Positive,paulbabington,1.7682775372322506e-07
Careers_and_Jobs_Positive,sandra_tamaela,4.280535368757939e-08
Careers_and_Jobs_Positive,Hilmi_Izuddin,1.4291440055410312e-07
Careers_and_Jobs_Positive,PuL_IWF,9.205089884192604e-08
Careers_and_Jobs_Positive,ChickanoBrand,1.5324344164347214e-07
Careers_and_Jobs_Positive,stephan_horvath,1.2150546448973766e-07
Careers_and_Jobs_Positive,victoriawongwj,1.3120632317816337e-07
Careers_and_Jobs_Positive,muhdxnazrul,1.223368148329778e-07
Careers_and_Jobs_Positive,fityatulaula,1.774553505143298e-07
Careers_and_Jobs_Positive,yzfr1kong,1.0807153816161651e-07
Careers_and_Jobs_Positive,yumseng,8.419071100839338e-08
Careers_and_Jobs_Positive,iamnurseanne,1.5882458617744938e-07
Careers_and_Jobs_Positive,kaileylutsuktri,6.59505139028043e-08
Careers_and_Jobs_Positive,kjinquiry,1.6017397780097824e-07
Careers_and_Jobs_Positive,laurap18,1.2271088741029596e-07
Careers_and_Jobs_Positive,limsteve777,1.4285903172347178e-07
Careers_and_Jobs_Positive,m4rinos,1.0552341498908216e-07
Careers_and_Jobs_Positive,mdrubelmia5533,1.5667005926522538e-07
Careers_and_Jobs_Positive,menjw_,1.1361430556312297e-07
Careers_and_Jobs_Positive,nrazn_,1.1799341026924186e-07
