Topic,User,Score
Tweets_About_Life_Events_Negative,AltsBryan,2.636421780214693e-05
Tweets_About_Life_Events_Positive,GBTwitz,2.44862326988118e-06
Tweets_About_Life_Events_Positive,madhumacintosh,7.286817142159282e-06
Tweets_About_Life_Events_Positive,LutfiLatiff,1.4409258141143504e-06
Tweets_About_Life_Events_Positive,LailahTan,1.3425726940217771e-06
Tweets_About_Life_Events_Positive,HaagenDars,1.202408467415455e-05
Tweets_About_Life_Events_Positive,MercadoKatey,2.762642008537467e-06
Birthdays_and_Anniversaries_Positive,AltsBryan,0.00012906162644502718
Birthdays_and_Anniversaries_Positive,aziegavs,0.00022011067691307085
Birthdays_and_Anniversaries_Positive,GBTwitz,0.00019004637559937946
Birthdays_and_Anniversaries_Positive,madhumacintosh,0.00021667685687387677
Birthdays_and_Anniversaries_Positive,LutfiLatiff,0.00011950853177337705
Birthdays_and_Anniversaries_Positive,LailahTan,0.00021853367068779632
Birthdays_and_Anniversaries_Positive,iamblesberou,0.0002439826804689709
Birthdays_and_Anniversaries_Positive,nnadster,0.00020522021612470138
Birthdays_and_Anniversaries_Positive,HaagenDars,0.00027363815815388987
Birthdays_and_Anniversaries_Positive,MercadoKatey,0.0002631721038257948
Birthdays_and_Anniversaries_Positive,_raftel_,0.00027379877735797217
Birthdays_and_Anniversaries_Positive,ykk_yjm,0.0002713068130041116
Birthdays_and_Anniversaries_Positive,erinn_mcn,0.00015958687967894958
Birthdays_and_Anniversaries_Positive,makristinajoie,0.00022335259792421504
Birthdays_and_Anniversaries_Positive,forever_Asmile,0.00016429015989994868
Birthdays_and_Anniversaries_Positive,haoxiang84,0.00020691204914257745
Birthdays_and_Anniversaries_Positive,hershey_jae,0.00019543864901183641
Birthdays_and_Anniversaries_Positive,dannysafian,0.0001294554115453612
Birthdays_and_Anniversaries_Positive,carinetanlm,0.00020097080635278258
Birthdays_and_Anniversaries_Positive,c_joonho,0.00026908569923563924
Birthdays_and_Anniversaries_Positive,jonalonso,0.00016173532029589355
Birthdays_and_Anniversaries_Positive,katieboren1,0.00023866004235250824
Birthdays_and_Anniversaries_Positive,fatihaputeri,0.00021942198809496728
Birthdays_and_Anniversaries_Positive,ABCDEFGORDON,0.0001666612996786133
Birthdays_and_Anniversaries_Positive,meetJayTJR,0.0002198079771743987
