Topic,User,Score
Tweets_About_Life_Events_Negative,sheepxmeep,9.407865096722652e-05
Tweets_About_Life_Events_Negative,TheRedzwanAman,8.958161206954787e-05
Tweets_About_Life_Events_Negative,MeaganWinthrop,8.91563469844548e-05
Tweets_About_Life_Events_Negative,AdamFlinter,8.935117498590015e-05
Tweets_About_Life_Events_Negative,AdrianLeeSA,9.340301846043243e-05
Tweets_About_Life_Events_Negative,_nsbmn,9.468232872521316e-05
Tweets_About_Life_Events_Negative,scarletscandals,9.915267363772804e-05
Tweets_About_Life_Events_Negative,senatrstanford,9.375258180055273e-05
Tweets_About_Life_Events_Negative,MichaelPeterAnt,8.907488907310939e-05
Tweets_About_Life_Events_Negative,Naaawiii_,9.439460383478636e-05
Tweets_About_Life_Events_Negative,kyutteng,9.254723868514014e-05
Tweets_About_Life_Events_Negative,fabomania,9.359661142247109e-05
Tweets_About_Life_Events_Negative,crabstick88,9.48826208356346e-05
Tweets_About_Life_Events_Negative,ployapha_j,9.230008749217684e-05
Tweets_About_Life_Events_Negative,gweniise,0.00010063694156142621
Tweets_About_Life_Events_Negative,shauketsheikh,9.708497824408706e-05
Tweets_About_Life_Events_Negative,goonerdon82,8.958915474479746e-05
Tweets_About_Life_Events_Negative,omaticayahafiz,9.076551444193964e-05
Tweets_About_Life_Events_Negative,yunyinglow_,9.242783056775172e-05
Tweets_About_Life_Events_Negative,_JDBSMG_,9.157482964409831e-05
Tweets_About_Life_Events_Negative,_sanjeevv,9.868218672712256e-05
Tweets_About_Life_Events_Negative,alfaradhy,9.512021150110401e-05
Tweets_About_Life_Events_Negative,MarthaQilaNas,9.425997276231798e-05
Tweets_About_Life_Events_Negative,thesabbitch,9.904524985984184e-05
Tweets_About_Life_Events_Negative,Angielovejks,9.883177535441662e-05
