Topic,User,Score
Careers_and_Jobs_Positive,rizsunawan,2.931523417423234e-07
Careers_and_Jobs_Positive,trentinnes,1.303479765893502e-07
Careers_and_Jobs_Positive,ZiggysFollies,6.307170170018989e-07
Tweets_About_Life_Events_Positive,PujanggaMalam,4.1790967615140944e-05
Tweets_About_Life_Events_Positive,akash_anandh,3.3425132416702975e-05
Tweets_About_Life_Events_Positive,rizsunawan,1.2633950250374451e-05
Tweets_About_Life_Events_Positive,meganyuen,5.0576676561690506e-05
Tweets_About_Life_Events_Positive,juliusTomas,1.914441254861189e-05
Tweets_About_Life_Events_Positive,Peakout2,1.6610826748290672e-05
Tweets_About_Life_Events_Positive,Perrytt,5.829090203700552e-06
Tweets_About_Life_Events_Positive,syafiqsharil,2.9611893642758922e-05
Tweets_About_Life_Events_Positive,marktigno,3.928484060297221e-05
Tweets_About_Life_Events_Positive,ridenteen,8.355415894473214e-06
Travelling_around_Singapore_Positive,PujanggaMalam,4.7722635889922835e-06
Everyday_Greetings_Positive,azhar_Raz,0.0011005443849121607
Everyday_Greetings_Positive,Dophdolphin,0.0011466860384573949
Everyday_Greetings_Positive,PujanggaMalam,0.0010040116721454174
Everyday_Greetings_Positive,akash_anandh,0.001159346453384095
Everyday_Greetings_Positive,rizsunawan,0.001225291538723987
Everyday_Greetings_Positive,AizatAzmir,0.0011309818503760145
Everyday_Greetings_Positive,meganyuen,0.0011028132930116516
Everyday_Greetings_Positive,juliusTomas,0.0010873476223330423
Everyday_Greetings_Positive,Peakout2,0.0011143861682713122
Everyday_Greetings_Positive,Perrytt,0.0011143861682713122
Everyday_Greetings_Positive,ajxl_,0.0011303882759726306
Everyday_Greetings_Positive,syafiqsharil,0.0010642868077771054
Everyday_Greetings_Positive,trentinnes,0.0008819978525255445
Everyday_Greetings_Positive,marktigno,0.001118982971112208
Everyday_Greetings_Positive,ZiggysFollies,0.001150110333874798
Everyday_Greetings_Positive,srihari_y,0.0010673296834052448
Everyday_Greetings_Positive,ridenteen,0.0009985748308757232
Everyday_Greetings_Positive,ecatalina,0.0010468266032053581
Everyday_Greetings_Positive,oohannaa,0.0011781051289143814
Everyday_Greetings_Positive,j1101l,0.0011781051289143814
Everyday_Greetings_Positive,r4chyiLing,0.0010508404557233216
Everyday_Greetings_Positive,vikaskgupta,0.001032364581152698
Everyday_Greetings_Positive,edwination_,0.0011050231067529187
Everyday_Greetings_Positive,insanitynut,0.0012269102510839285
Everyday_Greetings_Positive,howjkrling,0.0011781051289143814
