Topic,User,Score
Careers_and_Jobs_Positive,zhiren_,1.8654086851719247e-07
Tweets_About_Life_Events_Negative,NyanAliceNyan,1.8352806264501065e-05
Tweets_About_Life_Events_Negative,MiszHijabz,1.851534251102591e-05
Tweets_About_Life_Events_Negative,zhiren_,2.0133485438747642e-05
Tweets_About_Life_Events_Negative,_Rozairi_,2.0536648323659228e-05
Tweets_About_Life_Events_Negative,MeLi_Dudud,1.8994658051654507e-05
Tweets_About_Life_Events_Negative,AsriPirate,1.9588119533522006e-05
Tweets_About_Life_Events_Negative,OfficiallyShah,1.8800809778491643e-05
Tweets_About_Life_Events_Negative,Samantha_ILY,2.014954541840811e-05
Tweets_About_Life_Events_Negative,thepwt,1.846662174913925e-05
Tweets_About_Life_Events_Negative,mrzknrns,1.870508054654252e-05
Tweets_About_Life_Events_Negative,amyfegan,1.938079100786784e-05
Tweets_About_Life_Events_Negative,KauJunHeng,1.9502172860039075e-05
Tweets_About_Life_Events_Negative,commentxiao,1.9478992853718147e-05
Tweets_About_Life_Events_Negative,wyekitkat,1.9717806315548825e-05
Tweets_About_Life_Events_Negative,mushsinclair,1.9174931228560595e-05
Tweets_About_Life_Events_Negative,kukatsai,1.90833928056638e-05
Tweets_About_Life_Events_Negative,diegoluisr,1.8168538845038914e-05
Tweets_About_Life_Events_Negative,diddlyboo,1.966989426935628e-05
Tweets_About_Life_Events_Negative,bullyMAKOY,1.9434977840401174e-05
Tweets_About_Life_Events_Negative,coeurfaiz,1.8303799563616102e-05
Tweets_About_Life_Events_Negative,JayBeat1412,2.0093668517705998e-05
Tweets_About_Life_Events_Negative,ashiiwinnie,2.0195649355934667e-05
Tweets_About_Life_Events_Negative,Azari_Amin,1.8612280207097414e-05
Tweets_About_Life_Events_Negative,BikashTheke,1.9319978109504363e-05
Tweets_About_Life_Events_Negative,Sohtionghum,1.9694947545285393e-05
