Topic,User,Score
Tweets_About_Life_Events_Positive,infinite_jo,6.554334618710089e-07
Tweets_About_Life_Events_Positive,zafarrahmani12,6.591004355094354e-07
Tweets_About_Life_Events_Positive,Qew_15,6.399109233569879e-07
Tweets_About_Life_Events_Positive,sunpetsaquarium,6.72934054537511e-07
Tweets_About_Life_Events_Positive,kirbydingwall,6.404403062893387e-07
Tweets_About_Life_Events_Positive,dipendu_,6.686777482113051e-07
Tweets_About_Life_Events_Positive,thevaliant46,6.57171409941164e-07
Tweets_About_Life_Events_Positive,sureshATwork,6.420568001699965e-07
Tweets_About_Life_Events_Positive,sapio_official,6.611862541967928e-07
Tweets_About_Life_Events_Positive,rmantha2,6.466149892524817e-07
Tweets_About_Life_Events_Positive,nrlxfitri,6.126554651733414e-07
Tweets_About_Life_Events_Positive,kellylatimer,6.522418504425882e-07
Tweets_About_Life_Events_Positive,jpsedaghat,6.502539289385775e-07
Tweets_About_Life_Events_Positive,Ash_Pujari,6.600351382687436e-07
Tweets_About_Life_Events_Positive,BrendGibturn,6.496795711618252e-07
Tweets_About_Life_Events_Positive,b00mz_,6.787669880556202e-07
Tweets_About_Life_Events_Positive,albertopm13,6.719677572723141e-07
Tweets_About_Life_Events_Positive,R_for_RENIEEE,6.692277961204122e-07
Tweets_About_Life_Events_Positive,PLJackson2,6.551032840432485e-07
Tweets_About_Life_Events_Positive,LukeMangan,6.413721588094447e-07
Tweets_About_Life_Events_Positive,Libra_Credit_,6.724720618063196e-07
Tweets_About_Life_Events_Positive,LeenaKumari3012,6.353831687129389e-07
Tweets_About_Life_Events_Positive,Jonisan,6.639452449672424e-07
Tweets_About_Life_Events_Positive,Helenteacher123,6.761252593984451e-07
Tweets_About_Life_Events_Positive,CarsonNiDio,6.363439417718594e-07
