Topic,User,Score
Careers_and_Jobs_Positive,icefoxnix,2.676104605222446e-07
Careers_and_Jobs_Positive,amit_jayakumar,1.8930848548022393e-07
Tweets_About_Life_Events_Negative,AfiqahE,4.063855610885089e-05
Tweets_About_Life_Events_Negative,rainierrainiest,3.969888401136792e-05
Tweets_About_Life_Events_Negative,wee_serene,3.412493118691623e-05
Tweets_About_Life_Events_Negative,icefoxnix,3.033870185213368e-05
Tweets_About_Life_Events_Negative,mhertenberger,3.8548510977016095e-05
Tweets_About_Life_Events_Negative,ChangggWennn,3.333754782214459e-05
Tweets_About_Life_Events_Negative,geddiejdk,4.091811463450465e-05
Tweets_About_Life_Events_Negative,Nepareizais,3.153702110833064e-05
Tweets_About_Life_Events_Negative,SdMitsy,2.9328878863959216e-05
Tweets_About_Life_Events_Negative,SeaweeeeeeeeeeD,3.5881228494906885e-05
Tweets_About_Life_Events_Negative,jcmarquez25,4.175877540319843e-05
Tweets_About_Life_Events_Negative,feliciayeocl,2.5627874591133436e-05
Tweets_About_Life_Events_Negative,Jelsonizer,2.594507588000761e-05
Tweets_About_Life_Events_Negative,w_nnii,2.7063806410094298e-05
Tweets_About_Life_Events_Negative,ahchiamm,3.8741169256576596e-05
Tweets_About_Life_Events_Negative,F4R_IS,3.3282799955785665e-05
Tweets_About_Life_Events_Negative,ErsatzLuc,2.8047319974352052e-05
Tweets_About_Life_Events_Negative,AndrewDowson,2.859748669877096e-05
Tweets_About_Life_Events_Negative,malihuhuh,3.409142791717346e-05
Tweets_About_Life_Events_Negative,brendoncole,4.062492839124789e-05
Tweets_About_Life_Events_Negative,AiniElectrogirl,2.609724075283001e-05
Tweets_About_Life_Events_Negative,fabthevainkid,2.8863425748426397e-05
Tweets_About_Life_Events_Negative,_noor_amirah_,3.1379070531835715e-05
Tweets_About_Life_Events_Negative,amit_jayakumar,2.4499834354515776e-05
Tweets_About_Life_Events_Negative,_cherylhjx,3.664227284069291e-05
