Topic,User,Score
Careers_and_Jobs_Positive,josephng31890,1.5487195037941275e-07
Tweets_About_Life_Events_Positive,ZanneSusuMoomoo,2.2706012245753808e-05
Tweets_About_Life_Events_Positive,finnyonastick,2.0442934649030522e-05
Tweets_About_Life_Events_Positive,josephng31890,2.2167532894019347e-05
Tweets_About_Life_Events_Positive,heyitspika,2.4383927556164316e-05
Tweets_About_Life_Events_Positive,limshxjxxg92737,2.434122919398195e-05
Tweets_About_Life_Events_Positive,iamfrancisg,2.343866329090245e-05
Tweets_About_Life_Events_Positive,cramachandran,2.0964710489278946e-05
Tweets_About_Life_Events_Positive,kamibels,2.4153869871699883e-05
Tweets_About_Life_Events_Positive,hannahfarquharr,2.1771619302902772e-05
Tweets_About_Life_Events_Positive,RenanPacson,2.2046572237237117e-05
Tweets_About_Life_Events_Positive,fullertonhotels,2.1870354898756774e-05
Tweets_About_Life_Events_Positive,vivianpeifang_,2.237070394846043e-05
Tweets_About_Life_Events_Positive,Vqlerie,2.386563540269122e-05
Tweets_About_Life_Events_Positive,edu_Lisa,2.0907702226974955e-05
Tweets_About_Life_Events_Positive,omgrino,2.440772790453896e-05
Tweets_About_Life_Events_Positive,MuhdAdil,2.289476693401324e-05
Tweets_About_Life_Events_Positive,armarieuy,2.3748939577274562e-05
Tweets_About_Life_Events_Positive,RahmatSamsuri,2.091788973711819e-05
Tweets_About_Life_Events_Positive,yrdnehluap,2.1456319802727153e-05
Tweets_About_Life_Events_Positive,Grey_Projects,2.332538418869721e-05
Tweets_About_Life_Events_Positive,syhrhzm_,2.2514376225741548e-05
Tweets_About_Life_Events_Positive,tristansja,2.3007547461750353e-05
Tweets_About_Life_Events_Positive,khairina_sha,2.17521543479708e-05
Tweets_About_Life_Events_Positive,PSVgamingYT,2.4306252817773146e-05
Tweets_About_Life_Events_Positive,mllcg,2.4713874348486484e-05
