Topic,User,Score
Careers_and_Jobs_Positive,syaxxxx,6.786093132350434e-09
Careers_and_Jobs_Positive,hengiekaren,9.227434405042034e-08
Tweets_About_Life_Events_Negative,AnaSuki39,8.210599698924066e-05
Tweets_About_Life_Events_Negative,KomalaVGC,7.913508484764363e-05
Tweets_About_Life_Events_Negative,swastika_anggi,8.301978393159256e-05
Tweets_About_Life_Events_Negative,Alynfreekiee,7.627434965547831e-05
Tweets_About_Life_Events_Negative,syaxxxx,7.898852152735e-05
Tweets_About_Life_Events_Negative,Hxzxqhx,8.082781070410117e-05
Tweets_About_Life_Events_Negative,Lawson297,7.870727143830536e-05
Tweets_About_Life_Events_Negative,hengiekaren,8.300182366594837e-05
Tweets_About_Life_Events_Negative,annabellexian,7.854026356902513e-05
Tweets_About_Life_Events_Negative,2x2x2is8,8.283059264723907e-05
Tweets_About_Life_Events_Negative,dxzakir,7.986789501787779e-05
Tweets_About_Life_Events_Negative,xtigerbunnyx,8.190412327717163e-05
Tweets_About_Life_Events_Negative,rapomma2,8.048017487496884e-05
Tweets_About_Life_Events_Negative,neilsmith70,7.840083976068733e-05
Tweets_About_Life_Events_Negative,lykafultz,8.253701523991876e-05
Tweets_About_Life_Events_Negative,fighttips,8.73192022922183e-05
Tweets_About_Life_Events_Negative,WennyNjo,8.303002502614931e-05
Tweets_About_Life_Events_Negative,daneth_thy,7.937324613826897e-05
Tweets_About_Life_Events_Negative,codedtwo,8.081949618880735e-05
Tweets_About_Life_Events_Negative,A2RIJU5LI,7.931434808614653e-05
Tweets_About_Life_Events_Negative,TrumpForJobs,7.880510973823326e-05
Tweets_About_Life_Events_Negative,RACHEL_TAN_,8.010339163444498e-05
Tweets_About_Life_Events_Negative,LlamaSoh,7.910301945713426e-05
Tweets_About_Life_Events_Negative,JoleneNeoo,8.218950569663136e-05
Tweets_About_Life_Events_Negative,DandyarAmri,8.248699316022639e-05
