Topic,User,Score
Careers_and_Jobs_Positive,Nikunj83,3.723750943008871e-08
Tweets_About_Life_Events_Negative,Wily1,1.5749957841776917e-05
Tweets_About_Life_Events_Negative,mrzordan1,1.4854484476595688e-05
Tweets_About_Life_Events_Negative,bkealey,1.4272900375236478e-05
Tweets_About_Life_Events_Negative,JakeMcClory,1.527555042164927e-05
Tweets_About_Life_Events_Negative,sdjyx,1.5123002080613462e-05
Tweets_About_Life_Events_Negative,Nikunj83,1.3448829232062088e-05
Tweets_About_Life_Events_Negative,rolantanagras,1.5333296111268806e-05
Tweets_About_Life_Events_Negative,dannhamizan,1.61059845216091e-05
Tweets_About_Life_Events_Negative,psbacademy,1.5738971463737315e-05
Tweets_About_Life_Events_Negative,mr_tech1,1.4420384375019241e-05
Tweets_About_Life_Events_Negative,eqalrius,1.4852609440219876e-05
Tweets_About_Life_Events_Negative,paboleen,1.584393885752391e-05
Tweets_About_Life_Events_Negative,tatiklem01,1.613070582233468e-05
Tweets_About_Life_Events_Negative,WhoSia,1.4792538021788367e-05
Tweets_About_Life_Events_Negative,mmikeemike,1.6195330964525713e-05
Tweets_About_Life_Events_Negative,quresa,1.5491376635990196e-05
Tweets_About_Life_Events_Negative,isabelwsy,1.4926760179999976e-05
Tweets_About_Life_Events_Negative,ntuclearninghub,1.6302324655049786e-05
Tweets_About_Life_Events_Negative,rejon,1.4967105794309244e-05
Tweets_About_Life_Events_Negative,shideehashim,1.527650355485719e-05
Tweets_About_Life_Events_Negative,ssrestrepo,1.5052870422794641e-05
Tweets_About_Life_Events_Negative,DarrenShiroma,1.6283960990676033e-05
Tweets_About_Life_Events_Negative,gracie_nee,1.6617451109749833e-05
Tweets_About_Life_Events_Negative,ffiiwyn,1.4770712432840594e-05
Tweets_About_Life_Events_Negative,DeJayceedediaz,1.478790563202584e-05
